Title,Subtitle,Album,Year,Duration,ImageUrl,MusicUrl,Artist,LocalMusicUrl,LocalImageUrl
All I Want (Love That Lasts Mix),Olivia Rodrigo - All I Want (Love That Lasts Mix),All I Want (Love That Lasts Mix),2020,175,https://c.saavncdn.com/227/All-I-Want-Love-That-Lasts-Mix--English-2020-20200521000737-150x150.jpg,https://aac.saavncdn.com/227/31a5e0ddb8f7526064ac8270a4414a6b_96.mp4,['Olivia Rodrigo'],./music/All I Want/All I Want.mp3,./music/All I Want/All I Want.png
Took Her To The O,King Von - Levon James,Levon James,2020,196,https://c.saavncdn.com/997/Levon-James-English-2020-20200305093014-150x150.jpg,https://aac.saavncdn.com/997/7be0c221e57988be863387d35e733818_96.mp4,['King Von'],./music/Took Her To The O/Took Her To The O.mp3,./music/Took Her To The O/Took Her To The O.png
STAYING ALIVE,"DJ Khaled ft. Drake, LiL Baby, Drake &amp; Lil Baby - GOD DID",GOD DID,2022,178,https://c.saavncdn.com/383/GOD-DID-English-2022-20220902033506-150x150.jpg,https://aac.saavncdn.com/383/4e81532f71abe5d4c1f5b857cc5e64b1_96.mp4,['DJ Khaled'],./music/STAYING ALIVE/STAYING ALIVE.mp3,./music/STAYING ALIVE/STAYING ALIVE.png
Used to This,Future ft. Drake - Used to This,Used to This,2016,180,https://c.saavncdn.com/762/Used-to-This-English-2016-150x150.jpg,https://aac.saavncdn.com/762/a36a50edb7202949b3a740535ec498cf_96.mp4,['Future'],./music/Used to This/Used to This.mp3,./music/Used to This/Used to This.png
Master Of Puppets,Metallica - Master Of Puppets,Master Of Puppets,1992,514,https://c.saavncdn.com/127/Master-Of-Puppets-1992-150x150.jpg,https://aac.saavncdn.com/127/e7ab799e78c82d0b74a7d302b3749dad_96.mp4,['Metallica'],./music/Master Of Puppets/Master Of Puppets.mp3,./music/Master Of Puppets/Master Of Puppets.png
Spicy (feat. Post Malone),Ty Dolla $ign ft. Post Malone - Spicy (feat. Post Malone),Spicy (feat. Post Malone),2020,144,https://c.saavncdn.com/848/Spicy-feat-Post-Malone--English-2020-20201021083119-150x150.jpg,https://aac.saavncdn.com/848/c37bafec427629bdba8859bf7362f9de_96.mp4,['Ty Dolla $ign'],./music/Spicy/Spicy.mp3,./music/Spicy/Spicy.png
Lips Are Movin,Meghan Trainor - Lips Are Movin,Lips Are Movin,2014,183,https://c.saavncdn.com/287/Lips-Are-Movin-English-2014-150x150.jpg,https://aac.saavncdn.com/287/feb7fb93eebaabce7f839b8aa41390f5_96.mp4,['Meghan Trainor'],./music/Lips Are Movin/Lips Are Movin.mp3,./music/Lips Are Movin/Lips Are Movin.png
After Dark,Mr.kitty - Time,Time,2014,259,https://c.saavncdn.com/909/Time-English-2014-20190410020118-150x150.jpg,https://aac.saavncdn.com/909/6697e2c88bd9829418c6249cfe94d9db_96.mp4,['Mr.kitty'],./music/After Dark/After Dark.mp3,./music/After Dark/After Dark.png
LIKE I WOULD,ZAYN - Mind Of Mine (Deluxe Edition),Mind Of Mine (Deluxe Edition),2016,192,https://c.saavncdn.com/895/Mind-Of-Mine-Deluxe-Edition-English-2016-150x150.jpg,https://aac.saavncdn.com/895/9c488eca5a4a3ddb0f44b00f80429470_96.mp4,['ZAYN'],./music/LIKE I WOULD/LIKE I WOULD.mp3,./music/LIKE I WOULD/LIKE I WOULD.png
THat Part,ScHoolboy Q ft. Kanye West - Blank Face LP,Blank Face LP,2016,316,https://c.saavncdn.com/656/Blank-Face-LP-English-2016-20200526153147-150x150.jpg,https://aac.saavncdn.com/656/ccd33d221b29489efaa5e1e6eeeaa693_96.mp4,['ScHoolboy Q'],./music/THat Part/THat Part.mp3,./music/THat Part/THat Part.png
Teenage Fever,Drake - More Life,More Life,2017,220,https://c.saavncdn.com/406/More-Life-English-2017-20200328182433-150x150.jpg,https://aac.saavncdn.com/406/1db60382e5bd6e3d1175df36433b17a9_96.mp4,['Drake'],./music/Teenage Fever/Teenage Fever.mp3,./music/Teenage Fever/Teenage Fever.png
Everlong,Foo Fighters - The Colour And The Shape,The Colour And The Shape,1997,250,https://c.saavncdn.com/328/The-Colour-And-The-Shape-English-2014-20180409164150-150x150.jpg,https://aac.saavncdn.com/328/204638266329e65159f0e043407641bf_96.mp4,['Foo Fighters'],./music/Everlong/Everlong.mp3,./music/Everlong/Everlong.png
Sidewalks,The Weeknd ft. Kendrick Lamar - Starboy,Starboy,2016,231,https://c.saavncdn.com/372/Starboy-English-2016-150x150.jpg,https://aac.saavncdn.com/372/001706967f9fc8a38a364b9a8fb73e85_96.mp4,['The Weeknd'],./music/Sidewalks/Sidewalks.mp3,./music/Sidewalks/Sidewalks.png
DEVASTATED,Joey Bada$$ - ALL-AMERIKKKAN BADA$$,ALL-AMERIKKKAN BADA$$,2020,207,https://c.saavncdn.com/790/ALL-AMERIKKKAN-BADA--English-2020-20200320174503-150x150.jpg,https://aac.saavncdn.com/790/b0bc6086cbeb3892271bbda82294d533_96.mp4,['Joey Bada$$'],./music/Devastated/Devastated.mp3,./music/Devastated/Devastated.png
Fast,Juice WRLD - Death Race For Love (Bonus Track Version),Death Race For Love (Bonus Track Version),2022,209,https://c.saavncdn.com/656/Death-Race-For-Love-Bonus-Track-Version--English-2022-20220126063648-150x150.jpg,https://aac.saavncdn.com/656/731b8f59991ae5d32866f9f43173f6f5_96.mp4,['Juice WRLD'],./music/Fast/Fast.mp3,./music/Fast/Fast.png
Sharing Locations (feat. Lil Baby &amp; Lil Durk),"Meek Mill ft. Lil Durk, LiL Baby - Sharing Locations (feat. Lil Baby &amp; Lil Durk)",Sharing Locations (feat. Lil Baby &amp; Lil Durk),2021,161,https://c.saavncdn.com/684/Sharing-Locations-feat-Lil-Baby-Lil-Durk--English-2021-20210827042330-150x150.jpg,https://aac.saavncdn.com/684/454f0d21d3cb227b4defa631cee81817_96.mp4,['Meek Mill'],./music/Sharing Locations/Sharing Locations.mp3,./music/Sharing Locations/Sharing Locations.png
Hayloft,Mother Mother - O My Heart,O My Heart,2008,182,https://c.saavncdn.com/120/O-My-Heart-English-2008-20180328113701-150x150.jpg,https://aac.saavncdn.com/120/2e16d5d188677c3f8e75e9cafd956cd5_96.mp4,['Mother Mother'],./music/Hayloft/Hayloft.mp3,./music/Hayloft/Hayloft.png
bad idea,"Ariana Grande - thank u, next","thank u, next",2019,266,https://c.saavncdn.com/980/thank-u-next-English-2019-20190207231715-150x150.jpg,https://aac.saavncdn.com/980/30c369660b4f98186e2b1ae00a7262b9_96.mp4,['Ariana Grande'],./music/bad idea/bad idea.mp3,./music/bad idea/bad idea.png
Drankin N Smokin,"Future, Lil Uzi Vert - Pluto x Baby Pluto",Pluto x Baby Pluto,2020,213,https://c.saavncdn.com/070/Pluto-x-Baby-Pluto-English-2020-20201113053143-150x150.jpg,https://aac.saavncdn.com/070/aa5e0a0bbbc1fca6725d5703eb13d3ff_96.mp4,"['Future', 'Lil Uzi Vert']",./music/Drankin N Smokin/Drankin N Smokin.mp3,./music/Drankin N Smokin/Drankin N Smokin.png
Volví,"Aventura, Bad Bunny - Volví",Volví,2021,230,https://c.saavncdn.com/404/Volv--Spanish-2021-20210803051646-150x150.jpg,https://aac.saavncdn.com/404/5e41e8b35fec5602f9ced7544a7cd6be_96.mp4,"['Aventura', 'Bad Bunny']",./music/Volví/Volví.mp3,./music/Volví/Volví.png
3 Headed Goat,"Lil Durk ft. LiL Baby, Polo G, Lil Baby &amp; Polo G - 3 Headed Goat",3 Headed Goat,2020,169,https://c.saavncdn.com/928/3-Headed-Goat-English-2020-20210709222933-150x150.jpg,https://aac.saavncdn.com/928/5ffa2cd1d0c08246114585767c2aa9b2_96.mp4,['Lil Durk'],./music/3 Headed Goat/3 Headed Goat.mp3,./music/3 Headed Goat/3 Headed Goat.png
Cool for the Summer,Demi Lovato - Confident,Confident,2015,214,https://c.saavncdn.com/175/Confident-English-2015-150x150.jpg,https://aac.saavncdn.com/175/5fb8b59d2f07c3e7678de5dd0e663d38_96.mp4,['Demi Lovato'],./music/Cool for the Summer/Cool for the Summer.mp3,./music/Cool for the Summer/Cool for the Summer.png
All The Way Up,"Fat Joe, Remy Ma, French Montana ft. Infared - All The Way Up (feat. Infared) - Single",All The Way Up (feat. Infared) - Single,2016,191,https://c.saavncdn.com/299/All-The-Way-Up-feat-French-Montana-Infared-Single-English-2016-150x150.jpg,https://aac.saavncdn.com/299/3d444e1b75f6210138f99361e75a583e_96.mp4,"['Fat Joe', 'Remy Ma', 'French Montana']",./music/All The Way Up/All The Way Up.mp3,./music/All The Way Up/All The Way Up.png
Drew Barrymore,Bryce Vine - Drew Barrymore,Drew Barrymore,2017,191,https://c.saavncdn.com/315/Drew-Barrymore-English-2017-20190703233335-150x150.jpg,https://aac.saavncdn.com/315/1ccf6638a53a72ffe5822283cfd32d18_96.mp4,['Bryce Vine'],./music/Drew Barrymore/Drew Barrymore.mp3,./music/Drew Barrymore/Drew Barrymore.png
Otro Atardecer,"Bad Bunny, The Marías - Un Verano Sin Ti",Un Verano Sin Ti,2022,244,https://c.saavncdn.com/068/Un-Verano-Sin-Ti-Spanish-2022-20220506051252-150x150.jpg,https://aac.saavncdn.com/068/1536d1dc3cec7d19c38bc12ea3da1b38_96.mp4,"['Bad Bunny', 'The Marías']",./music/Otro Atardecer/Otro Atardecer.mp3,./music/Otro Atardecer/Otro Atardecer.png
Outside,Calvin Harris ft. Ellie Goulding - Outside,Outside,2014,226,https://c.saavncdn.com/983/Outside-English-2014-150x150.jpg,https://aac.saavncdn.com/983/52823d57a3c5bd1e553be154beec7223_96.mp4,['Calvin Harris'],./music/Outside/Outside.mp3,./music/Outside/Outside.png
Firestone,"Kygo, Conrad Sewell - Firestone",Firestone,2014,273,https://c.saavncdn.com/546/Firestone-English-2014-150x150.jpg,https://aac.saavncdn.com/546/226716e892196f83969fcb1ab7feb526_96.mp4,"['Kygo', 'Conrad Sewell']",./music/Firestone/Firestone.mp3,./music/Firestone/Firestone.png
Dead Man Walking,Brent Faiyaz - Dead Man Walking,Dead Man Walking,2020,200,https://c.saavncdn.com/715/Dead-Man-Walking-English-2020-20210519060520-150x150.jpg,https://aac.saavncdn.com/715/e73a83c9ecbd404c0fe7621c9183400f_96.mp4,['Brent Faiyaz'],./music/Dead Man Walking/Dead Man Walking.mp3,./music/Dead Man Walking/Dead Man Walking.png
I Got You,Bebe Rexha - I Got You,I Got You,2016,191,https://c.saavncdn.com/702/I-Got-You-English-2016-20190607043527-150x150.jpg,https://aac.saavncdn.com/702/46f6545cc5b26da9896c0233ba5654dd_96.mp4,['Bebe Rexha'],./music/I Got You/I Got You.mp3,./music/I Got You/I Got You.png
Run Up,"Major Lazer ft. PARTYNEXTDOOR, Nicki Minaj - Major Lazer Essentials",Major Lazer Essentials,2018,203,https://c.saavncdn.com/029/Major-Lazer-Essentials-English-2018-20190211194203-150x150.jpg,https://aac.saavncdn.com/029/3d04cbf876fb1edceb43827a722a6b16_96.mp4,['Major Lazer'],./music/Run Up/Run Up.mp3,./music/Run Up/Run Up.png
That's a Rack,Lil Uzi Vert - That's a Rack,That's a Rack,2019,236,https://c.saavncdn.com/383/That-s-A-Rack-English-2019-20190607041353-150x150.jpg,https://aac.saavncdn.com/383/0f420ba9c98f2019cf4ee0b961732e21_96.mp4,['Lil Uzi Vert'],./music/That's A Rack/That's A Rack.mp3,./music/That's A Rack/That's A Rack.png
Without Me,Eminem - The Eminem Show,The Eminem Show,2007,290,https://c.saavncdn.com/020/The-Eminem-Show-Explicit-Version-2003-150x150.jpg,https://aac.saavncdn.com/020/9ba3b416da0a703972dfe684b7b21390_96.mp4,['Eminem'],./music/Without Me/Without Me.mp3,./music/Without Me/Without Me.png
